学科,学分,成绩
巴蜀文化（MOOC）,2,100
大学英语DⅠ,4,88
大学英语DⅡ,4,98
动物福利概论,1.5,83
动物解剖及组织胚胎学,4.5,77
高等数学C,5,95
花文化,2,81
经济学概论,2,88
马克思主义基本原理概论,2.5,84
毛泽东思想和中国特色社会主义理论体系概论,4.5,77
普通昆虫学,4.5,86
生物统计(动),3.5,87
水生动物疾病学,4,86
思想道德修养与法律基础,2.5,85
思政课社会实践Ⅰ,0.5,87
思政课社会实践Ⅱ,0.5,86
思政课社会实践Ⅲ,0.5,96
思政课社会实践Ⅳ,0.5,92
体育理论课,1,90
体育实训课Ⅰ,1,89
体育实训课Ⅱ,1,81
无机及分析化学BⅠ,3,82
无机及分析化学BⅡ,1.5,90
无机及分析化学实验BⅠ,1.5,91
无机及分析化学实验BⅡ,2,96
形势与政策Ⅰ,0.5,85
形势与政策Ⅱ,0.5,91
形势与政策Ⅲ,0.5,91
畜牧学概论,4,87
有机化学B,3,81
有机化学实验B,2,89
中国近现代史纲要,2.5,78
专业概论与新生研讨,0.5,87
1,4.5,90
1,4.5,91
1,3,92
1,3,93
1,4,90
1,4.5,91
1,4,91
1,0.5,91
1,4,91
1,3,91
1,3,91
1,3.5,91
1,4.5,91
1,4.5,91
1,3.5,91
1,0.5,91
1,2.5,91
1,3,91
1,4.5,91
